timestamp,symbol,quantity,order_type,price,status
2025-04-03 16:27:33.630233,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.645967,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.680285,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.692935,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.710847,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.730303,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.742990,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.754801,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.766772,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.778113,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.789751,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.801878,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.813217,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.825867,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.837350,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.849178,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.860716,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.872988,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.884294,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.896366,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.909090,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.922417,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.934797,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.946965,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.960196,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.972337,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.984063,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:33.996001,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.008434,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.020399,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.033385,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.045076,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.057006,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.069147,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.081314,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.094098,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.105724,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.117725,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.129279,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.140770,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.151666,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.163465,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.176522,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.187587,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.199812,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.211532,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.223589,BTC-USD,1,market,Market Price,executed
2025-04-03 16:27:34.235102,BTC-USD,1,market,Market Price,executed
